Sprint,ID,Tâche,Détails,Statut,Commentaire
"Sprint 1","S1-01","Initialisation du dépôt Git","Repo GitHub, structure monorepo, branches main/dev","Terminé",""
"Sprint 1","S1-02","Conteneurisation Docker","docker-compose : PostgreSQL + API, volumes, variables d'environnement","Terminé",""
"Sprint 1","S1-03","Pipeline CI/CD GitHub Actions","Linting flake8 + tests Pytest à chaque commit","Terminé",""
"Sprint 1","S1-04","Modélisation de la base PostgreSQL","7 entités + migrations Alembic","Terminé",""
"Sprint 1","S1-05","Architecture de l'API Flask","Factory, Blueprints, gestion centralisée des erreurs","Terminé",""
"Sprint 1","S1-06","Authentification JWT","Tokens 15 min + refresh, blacklist, bcrypt","Terminé",""
"Sprint 1","S1-07","Middleware de permissions temps réel","Vérification en base à chaque requête (RG-02)","Terminé",""
"Sprint 2","S2-01","Setup frontend Next.js","Tailwind, thème sombre, layout par rôle, client API","Terminé",""
"Sprint 2","S2-02","Écrans d'authentification","Connexion, inscription, redirection par rôle","Terminé",""
"Sprint 2","S2-03","Interface d'administration","CRUD utilisateurs, rôles, matrice de permissions","Terminé",""
"Sprint 2","S2-04","CRUD Offres d'emploi","Publication, critères éliminatoires, ouverture/fermeture","Terminé",""
"Sprint 2","S2-05","Dépôt et suivi de candidature","Upload contrôlé, stepper de statut candidat","Terminé",""
"Sprint 2","S2-06","Audit ergonomique Bastien & Scapin","Guidage, concision, gestion des erreurs, accessibilité","Terminé","Rapport écrit non produit"
"Sprint 2","S2-07","Système de notifications","Table en base, 5 événements, destinataire par rôle","Terminé","Ajout hors périmètre initial"
"Sprint 3","S3-01","Extraction du texte des CV","pdfplumber, OCR Tesseract en repli, nettoyage","Terminé",""
"Sprint 3","S3-02","Pipeline NLP spaCy","Lemmatisation, référentiel de 45 compétences avec variantes","Terminé",""
"Sprint 3","S3-03","Moteur de règles métiers","Critères éliminatoires tracés avec motif exact","Terminé",""
"Sprint 3","S3-04","Constitution du jeu de données","Corpus labellisé pour l'apprentissage supervisé","Abandonné","Remplacé par l'approche sémantique + règles"
"Sprint 3","S3-05","Matching sémantique","Sentence Transformers, repli TF-IDF","Terminé",""
"Sprint 3","S3-06","Entraînement Random Forest","Classification probabiliste scikit-learn","Abandonné","Dépendait de S3-04 ; choix assumé à documenter"
"Sprint 3","S3-07","Audit de biais","Absence de corrélation entre scores et attributs non pertinents","À faire","Nécessaire au chapitre conformité"
"Sprint 3","S3-08","Intégration IA dans l'API","Analyse automatique au dépôt, endpoint de réanalyse","Terminé",""
"Sprint 3","S3-09","Parsing ATS structuré","Sections, identité, postes datés, formations, certifications, langues CECRL","Terminé","Ajout hors périmètre initial"
"Sprint 3","S3-10","Compétences obligatoires / souhaitées","Distinction ATS bloquante / valorisante","Terminé","Ajout hors périmètre initial"
"Sprint 3","S3-11","Support des CV au format DOCX","Paragraphes et tableaux","Terminé","Ajout hors périmètre initial"
"Sprint 4","S4-01","Chatbot RH","Réponses calculées sur les données réelles","Partiel","Fonctionnel sans LLM ; passage au RAG à décider"
"Sprint 4","S4-02","Tableau de bord et entonnoir","KPI, funnel, courbe calculés par l'API","Terminé","Livré par anticipation au Sprint 2"
"Sprint 4","S4-03","Rapports Power BI","Connexion à PostgreSQL, funnel + graphiques","À faire",""
"Sprint 4","S4-04","Mesure des KPI","Précision, rappel, temps de traitement, chatbot","À faire","Engagements du cahier des charges"
"Sprint 4","S4-05","Tests d'intégration","Parcours bout-en-bout, couverture ≥ 70 %","Partiel","55 tests unitaires ; pas de tests e2e"
"Sprint 4","S4-06","Démonstration déployable","docker-compose complet","Partiel","Fonctionne en local ; cloud optionnel"
"Sprint 4","S4-07","Documentation finale","README, doc API, guide par rôle, préparation soutenance","À faire",""
